CustomerID,CustomerName,Region,SignupDate
C0001,Customer 1,Asia,2023-03-04
C0002,Customer 2,South America,2023-12-18
C0003,Customer 3,North America,2023-08-19
C0004,Customer 4,Asia,2023-08-29
C0005,Customer 5,Asia,2023-02-21
C0006,Customer 6,South America,2023-04-06
C0007,Customer 7,North America,2023-08-10
C0008,Customer 8,North America,2023-08-19
C0009,Customer 9,Asia,2023-08-25
C0010,Customer 10,Europe,2023-05-23
C0011,Customer 11,Asia,2023-06-20
C0012,Customer 12,Asia,2023-01-29
C0013,Customer 13,Asia,2023-02-05
C0014,Customer 14,Asia,2023-01-13
C0015,Customer 15,South America,2023-06-09
C0016,Customer 16,North America,2023-11-23
C0017,Customer 17,South America,2023-07-06
C0018,Customer 18,South America,2023-08-31
C0019,Customer 19,South America,2023-03-27
C0020,Customer 20,Asia,2023-10-11
C0021,Customer 21,Europe,2023-03-07
C0022,Customer 22,North America,2023-06-19
C0023,Customer 23,Europe,2023-02-14
C0024,Customer 24,South America,2023-03-03
C0025,Customer 25,South America,2023-05-14
C0026,Customer 26,Europe,2023-10-11
C0027,Customer 27,Europe,2023-01-28
C0028,Customer 28,Europe,2023-04-18
C0029,Customer 29,South America,2023-02-13
C0030,Customer 30,South America,2023-12-06
C0031,Customer 31,North America,2023-10-13
C0032,Customer 32,North America,2023-11-27
C0033,Customer 33,South America,2023-05-08
C0034,Customer 34,Europe,2023-12-14
C0035,Customer 35,Europe,2023-08-19
C0036,Customer 36,North America,2023-07-09
C0037,Customer 37,South America,2023-08-13
C0038,Customer 38,North America,2023-10-10
C0039,Customer 39,North America,2023-05-01
C0040,Customer 40,Asia,2023-04-26
C0041,Customer 41,Asia,2023-08-21
C0042,Customer 42,Asia,2023-09-16
C0043,Customer 43,Europe,2023-12-25
C0044,Customer 44,South America,2023-07-17
C0045,Customer 45,South America,2023-05-17
C0046,Customer 46,South America,2023-11-14
C0047,Customer 47,South America,2023-06-14
C0048,Customer 48,Asia,2023-08-13
