CustomerID,Cluster
C0001,0
C0002,3
C0003,2
C0004,2
C0005,2
C0006,2
C0007,2
C0008,0
C0009,2
C0010,2
C0011,0
C0012,0
C0013,2
C0014,2
C0015,4
C0016,3
C0017,0
C0018,3
C0019,2
C0020,3
C0021,3
C0022,3
C0023,2
C0024,1
C0025,0
C0026,0
C0027,4
C0028,2
C0029,2
C0030,2
C0031,4
C0032,0
C0033,2
C0034,2
C0035,2
C0036,2
C0037,1
C0038,0
C0039,0
C0040,0
C0041,4
C0042,0
C0043,4
C0044,2
C0045,3
C0046,0
C0047,0
C0048,1
C0049,2
C0050,1
C0051,2
C0052,3
C0053,0
C0054,2
C0055,0
C0056,2
C0057,2
C0058,3
C0059,0
C0060,1
C0061,0
C0062,0
C0063,0
C0064,3
C0065,3
C0066,3
C0067,1
C0068,4
C0069,2
C0070,2
C0071,1
C0072,2
C0073,1
C0074,2
C0075,2
C0076,2
C0077,4
C0078,0
C0079,2
C0080,4
C0081,2
C0082,4
C0083,2
C0084,2
C0085,2
C0086,0
C0087,3
C0088,3
C0089,1
C0090,0
C0091,4
C0092,0
C0093,3
C0094,1
C0095,0
C0096,3
C0097,2
C0098,0
C0099,3
C0100,3
C0101,2
C0102,2
C0103,1
C0104,0
C0105,2
C0106,3
C0107,2
C0108,0
C0109,0
C0110,3
C0111,0
C0112,4
C0113,0
C0114,3
C0115,0
C0116,4
C0117,0
C0118,0
C0119,1
C0120,3
C0121,3
C0122,2
C0123,2
C0124,4
C0125,1
C0126,2
C0127,3
C0128,2
C0129,3
C0130,0
C0131,2
C0132,2
C0133,0
C0134,0
C0135,2
C0136,2
C0137,0
C0138,2
C0139,4
C0140,2
C0141,0
C0142,1
C0143,0
C0144,2
C0145,0
C0146,2
C0147,2
C0148,0
C0149,0
C0150,4
C0151,0
C0152,2
C0153,2
C0154,0
C0155,2
C0156,4
C0157,0
C0158,3
C0159,2
C0160,4
C0161,2
C0162,2
C0163,1
C0164,0
C0165,3
C0166,0
C0167,2
C0168,2
C0169,1
C0170,1
C0171,3
C0172,2
C0173,0
C0174,3
C0175,1
C0176,3
C0177,0
C0178,2
C0179,0
C0180,2
C0181,2
C0182,0
C0183,1
C0184,2
C0185,2
C0186,1
C0187,0
C0188,3
C0189,3
C0190,0
C0191,2
C0192,4
C0193,3
C0194,2
C0195,1
C0196,3
C0197,4
C0198,0
C0199,2
C0200,0
